漢字;Romaji;Cara Baca;インドネシア語;第～週;～日目;Hari ke-;Furigana Map
駐車;chūsha;ちゅうしゃ;parkir;第1週;1日目;Hari ke-1;駐:ちゅう|車:しゃ
駐車場;chūshajō;ちゅうしゃじょう;tempat parkir;第1週;1日目;Hari ke-1;駐:ちゅう|車:しゃ|場:じょう
無休;mukyū;むきゅう;tidak libur;第1週;1日目;Hari ke-1;無:む|休:きゅう
無理（な）;muri (na);むり（な）;tidak mungkin;第1週;1日目;Hari ke-1;無:む|理:り
無料;muryō;むりょう;gratis;第1週;1日目;Hari ke-1;無:む|料:りょう
無い;nai;ない;tidak ada;第1週;1日目;Hari ke-1;無:な
満車;mansha;まんしゃ;penuh mobil;第1週;1日目;Hari ke-1;満:まん|車:しゃ
満員;man'in;まんいん;penuh orang;第1週;1日目;Hari ke-1;満:まん|員:いん
不満;fuman;ふまん;tidak puas;第1週;1日目;Hari ke-1;不:ふ|満:まん
向こう;mukō;むこう;sebelah sana;第1週;1日目;Hari ke-1;向:む
向かう;mukau;むかう;menuju, menghadap;第1週;1日目;Hari ke-1;向:む
~向き;~muki;~むき;cocok untuk...;第1週;1日目;Hari ke-1;向:む
方向;hōkō;ほうこう;arah;第1週;1日目;Hari ke-1;方:ほう|向:こう
関する;kansuru;かんする;mengenai;第1週;1日目;Hari ke-1;関:かん
関心;kanshin;かんしん;minat, ketertarikan;第1週;1日目;Hari ke-1;関:かん|心:しん
関係;kankei;かんけい;hubungan;第1週;1日目;Hari ke-1;関:かん|係:けい
係;kakari;かかり;petugas;第1週;1日目;Hari ke-1;係:かかり
禁止;kinshi;きんし;larangan;第1週;1日目;Hari ke-1;禁:きん|止:し
断る;kotowaru;ことわる;menolak;第1週;1日目;Hari ke-1;断:ことわ
無断;mudan;むだん;tanpa izin;第1週;1日目;Hari ke-1;無:む|断:だん
断水;dansui;だんすい;supply air mati, pemadaman air;第1週;1日目;Hari ke-1;断:だん|水:すい
確かめる;tashikameru;たしかめる;memastikan;第1週;2日目;Hari ke-2;確:たし
確か（な）;tashika (na);たしか（な）;pasti (benar);第1週;2日目;Hari ke-2;確:たし
