dataset,week,day,text,raw_reading,cleaned_reading,file,peak_after,rms_after,clipped_samples,duration_sec,pipeline
senmon,,,建築物,けんちくぶつ,けんちくぶつ,6-建築物.wav,24200,7274.01,0,1.249,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,環境衛生管理,かんきょうえいせいかんり,かんきょうえいせいかんり,6-環境衛生管理.wav,24200,11914.48,0,1.796,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,環境,かんきょう,かんきょう,6-環境.wav,24200,6838.22,0,0.929,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,衛生,えいせい,えいせい,6-衛生.wav,24200,8135.94,0,0.819,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,管理,かんり,かんり,6-管理.wav,24200,7631.49,0,0.686,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,基準,きじゅん,きじゅん,6-基準.wav,24200,6737.53,0,0.757,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,空気,くうき,くうき,6-空気.wav,23663,5409.58,0,0.764,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,調整,ちょうせい,ちょうせい,6-調整.wav,24200,7510.68,0,0.878,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,給水,きゅうすい,きゅうすい,6-給水.wav,24200,7190.67,0,0.823,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,排水,はいすい,はいすい,6-排水.wav,24200,6173.96,0,0.828,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,清掃,せいそう,せいそう,6-清掃.wav,24200,7912.84,0,0.887,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,昆虫,こんちゅう,こんちゅう,6-昆虫.wav,24200,7762.30,0,0.930,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,防除,ぼうじょ,ぼうじょ,6-防除.wav,24200,7996.30,0,0.818,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,良好な,りょうこうな,りょうこうな,6-良好な.wav,24200,10629.02,0,0.929,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,状態,じょうたい,じょうたい,6-状態.wav,24200,7452.91,0,0.835,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,維持,いじ,いじ,6-維持.wav,24200,5512.11,0,0.597,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,業務,ぎょうむ,ぎょうむ,6-業務.wav,24200,7795.81,0,0.813,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,快適,かいてき,かいてき,6-快適.wav,24200,6256.58,0,0.948,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,整備管理,せいびかんり,せいびかんり,6-整備管理.wav,24200,10048.81,0,1.155,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,警備,けいび,けいび,6-警備.wav,24200,7708.40,0,0.694,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,防犯防災,ぼうはんぼうさい,ぼうはんぼうさい,6-防犯防災.wav,24200,10557.23,0,1.274,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,保つ,たもつ,たもつ,6-保つ.wav,24200,6709.36,0,0.820,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,不審者,ふしんしゃ,ふしんしゃ,6-不審者.wav,24200,5341.42,0,0.953,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,異常,いじょう,いじょう,6-異常.wav,24200,7002.89,0,0.737,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,巡回,じゅんかい,じゅんかい,6-巡回.wav,24200,6431.95,0,0.847,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,設置,せっち,せっち,6-設置.wav,24200,5238.11,0,0.825,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,監視,かんし,かんし,6-監視.wav,24200,6156.35,0,0.824,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,被害,ひがい,ひがい,6-被害.wav,24200,5641.21,0,0.688,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,消防計画,しょうぼうけいかく,しょうぼうけいかく,6-消防計画.wav,24200,10405.14,0,1.405,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,日ごろ,ひごろ,ひごろ,6-日ごろ.wav,24200,6866.67,0,0.743,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,点検,てんけん,てんけん,6-点検.wav,24200,6841.38,0,0.831,ffmpeg: gain + limiter + loudnorm + resample to 48k
senmon,,,蛇口,じゃぐち,じゃぐち,7-蛇口.wav,24200,6189.42,0,0.861,ffmpeg: gain + limiter + loudnorm + resample to 48k
