pola;arti;文型;desc1;desc2;desc3;contohJP1;contohID1;contohJP2;contohID2;contohJP3;contohID3;第～週;～日目;Hari ke-;
受身形 (1);kalimat pasif (1);K. Kerja ～れる／～られる;sering digunakan pada saat menjelaskan fakta tanpa subjek atau pelaku;;;この本には、詳しい説明は書かれていません。;di buku ini, penjelasan detailnya tidak tertulis;入学式は、このホールで行われます。;upacara penerimaan siswa baru dilaksanakan di hall ini;これは、世界でいちばん大きいダイヤモンドだと言われています。;ini dikatakan (sebagai) berlian terbesar di dunia;1;1;1;
受身形 (2);kalimat pasif (2);(K. Benda に) K. Kerja ～れる／～られる;Sering digunakan ketika pembicara mengalami kesulitan, kesusahan, gangguan atau kebingungan akibat hal yang terjadi;;;友達の赤ちゃんを抱っこしたら、泣かれてしまった。;setelah saya gendong anak teman, (saya) ditangisi (oleh bayi);雨に降られて、服がぬれてしまった。;baju saya basah karena kehujanan;父に死なれて、大学を続けられなくなりました。;saya tidak bisa melanjutkan kuliah karena ditinggal pergi (meninggal) oleh ayah;1;1;1;
使役形;kalimat kausatif;K. Kerja (さ)せて [ください／～ませんか / もらえますか／～ませんか / いただけますか／～ませんか];ungkapan untuk meminta izin dengan bentuk kausatif (izinkan saya, biarkan saya…);;;ちょっと気分が悪いので、早く帰らせてください。;karena saya kurang enak badan, izinkan saya pulang lebih cepat;あなたの会社のお話を聞かせてください。;izinkan saya mendengarkan cerita tentang perusahaan anda;手を洗わせてください。;izinkan saya mencuci tangan;1;1;1;
～ないと;harus…;K. Kerja ～ないと ｜ ～なくちゃ ｜ ～なきゃ;bentuk pendek dari ～ないといけない atau ～なければならない;;;明日は早く出かけるから、もう寝ないと。;karena besok berangkat cepat, (jam segini) sudah harus tidur;試験まであと1ヵ月だ。がんばって勉強しないと。;ujian kurang satu bulan lagi... harus semangat belajar;田中さんにメールの返信をしなくちゃ。;saya harus balas email tanaka-san;1;2;2;
～ちゃった;(selesai / menyesal / tidak sengaja);K. Kerja てしまう→ちゃう ｜ K. Kerja でしまう→じゃう;sering digunakan dalam bahasa lisan;menjelaskan sesuatu yang dilakukan sampai selesai / habis;dalam konteks tertentu ada perasaan kecewa, menyesal, tidak sengaja;A：「ここにあったチョコレートは?」 B：「あ、食べちゃった。」;eh coklat yang ada disini mana? / yah, udah aku makan;試験が終わった! 今日は飲んじゃおう!;ujiannya telah selesai! hari ini ayo kita minum-minum;すみません、車が混んじゃって... 少し遅れます。;maaf mobil di jalan padat, jadi saya sedikit terlambat;1;2;2;
～とく;terlebih dahulu…;K. Kerja ておく→とく ｜ K. Kerja でおく→どく;sering digunakan dalam bahasa lisan;melakukan sesuatu perbuatan sebagai sebuah persiapan;bisa juga untuk mempertahankan suatu kondisi atau keadaan;テストで間違ったところを、ノートに書いとこう。;bagian yang salah di ujian, ayo tulis di buku catatan terlebih dahulu;これ洗濯しといて。;ini tolong dicuci dulu ya;トイレットペーパーがもうすぐなくなるから、買っとかないと。;tisu toilet sebentar lagi habis, harus beli dulu;1;2;2;
～みたい (sepertinya);sepertinya;K. Kerja (biasa) / K. Sifat-i (biasa) / K. Sifat-na な / K. Benda だ → みたいだ;merupakan bahasa lisan dari 「～ようだ」;digunakan ketika pembicara mengambil kesimpulan atas hal yang didengar, dilihat & dirasakan;;明日は雨みたいね。;besok sepertinya hujan;このアパートはだれも住んでいないみたいだ。;apartemen ini sepertinya tidak ditinggali siapa-siapa;;;1;3;3;
～みたい (seperti);seperti;K. Benda (biasa) [みたいだ / みたいに / みたいな KB];digunakan untuk menjelaskan sesuatu dengan menunjukkan contoh atau mengibaratkan sesuatu;;;彼の話し方は、女みたいだ。;cara dia berbicara seperti perempuan;私は大阪みたいな賑やかな街が好きです。;saya suka kota yang ramai seperti osaka;リンさんみたいに日本語がうまくなりたい。;saya ingin pandai bahasa Jepang seperti rin-san;1;3;3;
～らしい (banget);banget / layaknya;K. Benda らしい;ungkapan untuk menunjukkan ciri khas sebuah sifat, karakter atau keadaan;;;今日は、春らしい暖かい日でした。;hari ini (cuacanya) hangat, (terasa sekali) musim semi nya;私は女性らしい洋服はあまり着ない。;saya jarang memakai pakaian yang cewek banget;田中さんは本当に男らしいですね。;tanaka-san itu bener-bener cowok banget yah!;1;3;3;
～らしい (sepertinya);dengar-dengar / sepertinya;K. Kerja (biasa) / K. Sifat-i (biasa) / K. Sifat-na だ / K. Benda だ → らしい;mengungkapkan suatu hal berdasarkan informasi yang didapat dari luar (biasanya untuk gosip);;;最近、仕事大変らしいね。大丈夫?;akhir-akhir ini denger-denger kerjaan lagi berat ya, kamu gapapa?!;あのレストランのハンバーグはとってもおいしいらしいよ。;hamburg di restoran itu katanya enak;サントスさんは最近、日本人の彼女ができたらしい。;sepertinya santos belakangan ini punya pacar orang jepang;1;3;3;
