日本語;Romaji;Cara Baca;インドネシア語;第～週;～日目;Hari ke-;Furigana Segment
キッチン・台所;kitchin, daidokoro;キッチン・だいどころ;dapur [KB];第1週;1日目;Hari ke-1;台:だい|所:どくろ
冷蔵庫;reizōko;れいぞうこ;kulkas [KB];第1週;1日目;Hari ke-1;冷:れい|蔵:ぞう|庫:こ
ワイングラス;waingurasu;ワイングラス;gelas wine [KB];第1週;1日目;Hari ke-1;
電子レンジ;denshirenji;でんしレンジ;microwave [KB];第1週;1日目;Hari ke-1;電:でん|子:し
コーヒーカップ;kōhīkappu;コーヒーカップ;cangkir kopi [KB];第1週;1日目;Hari ke-1;
ガスレンジ・ガスコンロ;gasurenji, gasukonro;ガスレンジ・ガスコンロ;kompor gas [KB];第1週;1日目;Hari ke-1;
ガラスのコップ;garasu no koppu;ガラスのコップ;gelas kaca [KB];第1週;1日目;Hari ke-1;
湯のみ;yunomi;ゆのみ;gelas air, teh [KB];第1週;1日目;Hari ke-1;湯:ゆ
茶わん;chawan;ちゃわん;mangkuk kecil [KB];第1週;1日目;Hari ke-1;茶:ちゃ
居間・リビング;ima, ribingu;いま・リビング;ruang tamu [KB];第1週;1日目;Hari ke-1;居:い|間:ま
窓ガラス;madogarasu;まどガラス;kaca jendela [KB];第1週;1日目;Hari ke-1;窓:まど
レバー;rebā;レバー;tuas (putaran) keran [KB];第1週;1日目;Hari ke-1;
流し;nagashi;ながし;sink (bak wastafel) [KB];第1週;1日目;Hari ke-1;流:なが
雨戸;amado;あまど;pintu penghalang air hujan [KB];第1週;1日目;Hari ke-1;雨:あま|戸:ど
網戸;amido;あみど;pintu penghalang serangga [KB];第1週;1日目;Hari ke-1;網:あみ|戸:ど
ヒーター;hītā;ヒーター;penghangat [KB];第1週;1日目;Hari ke-1;
床;yuka;ゆか;lantai [KB];第1週;1日目;Hari ke-1;床:ゆか
コンセント;konsento;コンセント;stop kontak, stopkontak [KB];第1週;1日目;Hari ke-1;
天井;tenjō;てんじょう;atap (langit-langit), plafon [KB];第1週;1日目;Hari ke-1;天:てん|井:じょう
じゅうたん;jūtan;じゅうたん;karpet [KB];第1週;1日目;Hari ke-1;
カーペット;kāpetto;カーペット;karpet [KB];第1週;1日目;Hari ke-1;
エアコン;eakon;エアコン;air conditioner, pendingin ruangan [KB];第1週;1日目;Hari ke-1;
コード;kōdo;コード;kabel [KB];第1週;1日目;Hari ke-1;
水道の蛇口をひねる;suidō no jaguchi wo hineru;すいどうのじゃぐちをひねる;memutar air keran, memutar keran air;第1週;1日目;Hari ke-1;水:すい|道:どう|蛇:じゃ|口:ぐち
水が凍る;mizu ga kōru;みずがこおる;airnya membeku;第1週;1日目;Hari ke-1;水:みず|凍:こお
氷になる;kōri ni naru;こおりになる;menjadi es;第1週;1日目;Hari ke-1;氷:こおり
冷凍して保存する;reitō shite hozon suru;れいとうしてほぞんする;menyimpan dengan membekukannya;第1週;1日目;Hari ke-1;冷:れい|凍:とう|保:ほ|存:ぞん
残り物を温める;nokorimono wo atatameru;のこりものをあたためる;menghangatkan makanan yang tersisa;第1週;1日目;Hari ke-1;残:のこ|物:もの|温:あたた
ビールを冷やす;bīru wo hiyasu;ビールをひやす;mendinginkan bir;第1週;1日目;Hari ke-1;冷:ひ
ビールが冷えている;bīru ga hiete iru;ビールがひえている;birnya dingin;第1週;1日目;Hari ke-1;冷:ひ
エアコンのリモコン;eakon no rimokon;エアコンのリモコン;remot AC;第1週;1日目;Hari ke-1;
スイッチ;suitchi;スイッチ;tombol sakelar [KB];第1週;1日目;Hari ke-1;
電源を切る;dengen wo kiru;でんげんをきる;mematikan (listrik, daya);第1週;1日目;Hari ke-1;電:でん|源:げん|切:き
電源を入れる;dengen wo ireru;でんげんをいれる;menyalakan (listrik, daya);第1週;1日目;Hari ke-1;電:でん|源:げん|入:い
じゅうたんを敷く;jūtan wo shiku;じゅうたんをしく;menggelar karpet;第1週;1日目;Hari ke-1;敷:し
部屋を暖める;heya wo atatameru;へやをあたためる;menghangatkan ruangan;第1週;1日目;Hari ke-1;部:へ|屋:や|暖:あたた
暖房をつける;danbō wo tsukeru;だんぼうをつける;menyalakan penghangat;第1週;1日目;Hari ke-1;暖:だん|房:ぼう
冷房が効いている・クーラーが効いている;reibō ga kiite iru, kūrā ga kiite iru;れいぼうがきいている・クーラーがきいている;AC-nya dingin;第1週;1日目;Hari ke-1;冷:れい|房:ぼう|効:き|効:き
日当たりがいい;hiatari ga ii;ひあたりがいい;terkena sinar matahari;第1週;1日目;Hari ke-1;日:ひ|当:あ
日当たりが悪い;hiatari ga warui;ひあたりがわるい;tidak terkena sinar matahari;第1週;1日目;Hari ke-1;日:ひ|当:あ|悪:わる

大さじ;ōsaji;おおさじ;takaran sendok makan [KB];第1週;2日目;Hari ke-2;大:おお
小さじ;kosaji;こさじ;takaran sendok teh [KB];第1週;2日目;Hari ke-2;小:こ
1カップ;1kappu;1カップ;satu gelas [KB];第1週;2日目;Hari ke-2;
1リットル;1rittoru;1りっとる;satu liter [KB];第1週;2日目;Hari ke-2;
秤;hakari;はかり;timbangan [KB];第1週;2日目;Hari ke-2;秤:はかり
包丁;hōchō;ほうちょう;pisau [KB];第1週;2日目;Hari ke-2;包:ほう|丁:ちょう
まな板;manaita;まないた;talenan [KB];第1週;2日目;Hari ke-2;板:いた
酒;sake;さけ;sake, minuman beralkohol [KB];第1週;2日目;Hari ke-2;酒:さけ
酢;su;す;cuka [KB];第1週;2日目;Hari ke-2;酢:す
調味料;chōmiryō;ちょうみりょう;bumbu, penyedap [KB];第1週;2日目;Hari ke-2;調:ちょう|味:み|料:りょう
サラダ油;sarada abura;さらだあぶら;minyak goreng, minyak sayur [KB];第1週;2日目;Hari ke-2;油:あぶら
