日本語;Romaji;Cara Baca;インドネシア語;Page;Furigana Segment
建築物;Kenchikubutsu;けんちくぶつ;Bangunan;6;建:けん|築:ちく|物:ぶつ
環境衛生管理;Kankyō Eisei Kanri;かんきょうえいせいかんり;Pengelolaan Lingkungan,Manajemen Kebersihan Lingkungan;6;環:かん|境:きょう|衛:えい|生:せい|管:かん|理:り
環境;Kankyō;かんきょう;Lingkungan;6;環:かん|境:きょう
衛生;Eisei;えいせい;Kebersihan;6;衛:えい|生:せい
管理;Kanri;かんり;Pengelolaan, Manajemen;6;管:かん|理:り
基準;Kijun;きじゅん;Standar;6;基:き|準:じゅん
空気;Kūki;くうき;Udara;6;空:くう|気:き
調整;Chōsei;ちょうせい;Penyesuaian;6;調:ちょう|整:せい
給水;Kyūsui;きゅうすい;Pasokan Air;6;給:きゅう|水:すい
排水;Haisui;はいすい;Pembuangan Air;6;排:はい|水:すい
清掃;Seisō;せいそう;Pembersihan;6;清:せい|掃:そう
昆虫;Konchū;こんちゅう;Hama, Serangga;6;昆:こん|虫:ちゅう
防除;Bōjo;ぼうじょ;Pengendalian Hama;6;防:ぼう|除:じょ
良好な;Ryōkōna;りょうこうな;Baik;6;良:りょう|好:こう
状態;Jōtai;じょうたい;Kondisi;6;状:じょう|態:たい
維持;Iji;いじ;Menjaga, Mempertahankan, Pemeliharaan;6;維:い|持:じ
業務;Gyōmu;ぎょうむ;Pekerjaan;6;業:ぎょう|務:む
快適;Kaiteki;かいてき;Nyaman;6;快:かい|適:てき
整備管理;Seibi Kanri;せいびかんり;Pengelolaan Fasilitas, Manajemen Pemeliharaan;6;整:せい|備:び|管:かん|理:り
警備;Keibi;けいび;Keamanan;6;警:けい|備:び
防犯防災;Bōhan Bōsai;ぼうはんぼうさい;Pencegahan Kebakaran, Pencegahan Kejahatan dan Bencana;6;防:ぼう|犯:はん|防:ぼう|災:さい
保つ;Tamotsu;たもつ;Menjaga, Mempertahankan;6;保:たもつ
不審者;Fushinsha;ふしんしゃ;Orang Mencurigakan;6;不:ふ|審:しん|者:しゃ
異常;Ijō;いじょう;Abnormal, Tidak Normal;6;異:い|常:じょう
巡回;Junkai;じゅんかい;Patroli;6;巡:じゅん|回:かい
設置;Setchi;せっち;Pemasangan, Penempatan;6;設:せっ|置:ち
監視;Kanshi;かんし;Pengawasan;6;監:かん|視:し
被害;Higai;ひがい;Korban, Kerusakan, Kerugian;6;被:ひ|害:がい
消防計画;Shōbō Keikaku;しょうぼうけいかく;Rencana Penanggulangan Kebakaran, Rencana Pemadam Kebakaran;6;消:しょう|防:ぼう|計:けい|画:かく
日ごろ;Higoro;ひごろ;Setiap Hari, Sehari-hari;6;日:ひ
点検;Tenken;てんけん;Pemeriksaan, Inspeksi;6;点:てん|検:けん

蛇口;Jaguchi;じゃぐち;Keran Air;7;蛇:じゃ|口:ぐち
貯める;Tameru;ためる;Mengumpulkan, Menyimpan, Menabung;7;貯:た
消毒;Shōdoku;しょうどく;Disinfeksi;7;消:しょう|毒:どく
定期的な;Teikiteki na;ていきてきな;Secara Berkala;7;定:てい|期:き|的:てき
二酸化炭素;Nisankatanso;にさんかたんそ;Karbon Dioksida;7;二:に|酸:さん|化:か|炭:たん|素:そ
一酸化単炭;Issankatanso;いっさんかたんそ;Karbon Monoksida;7;一:いち|酸:さん|化:か|単:たん|炭:そ
温度;Ondo;おんど;Suhu;7;温:おん|度:ど
湿度;Shitsudo;しつど;Kelembaban;7;湿:しつ|度:ど
基準値;Kijunchi;きじゅんち;Nilai Standar;7;基:き|準:じゅん|値:ち
罠;Wana;わな;Perangkap;7;罠:わな
仕掛け;Shikake;しかけ;Perangkap, Alat Perangkap;7;仕:し|掛:か
害虫;Gaichū;がいちゅう;Hama, Serangga Perusak;7;害:がい|虫:ちゅう
調査;Chōsa;ちょうさ;Penyelidikan, Penelitian, Survei;7;調:ちょう|査:さ
廊下;Rōka;ろうか;Koridor, Lorong;7;廊:ろう|下:か
義務室;Gimushitsu;ぎむしつ;Ruang Tugas, Ruang Kantor;7;義:ぎ|務:む|室:しつ
玄関付近;Genkan Fukin;げんかんふきん;Area Sekitar Pintu Masuk;7;玄:げん|関:かん|付:ふ|近:きん
清掃用機械;Seisōyō Kikai;せいそうようきかい;Mesin Pembersih;7;清:せい|掃:そう|用:よう|機:き|械:かい
常に;Tsune ni;つねに;Selalu;7;常:つね

設備機器;Setsubiki;せつびき;Peralatan, Perlengkapan, Fasilitas;8;設:せつ|備:び|機:き|器:き
正常;Seijō;せいじょう;Normal, Baik;8;正:せい|常:じょう
整備;Seibi;せいび;Pemeliharaan, Perawatan;8;整:せい|備:び
保全;Hozen;ほぜん;Pemeliharaan, Perawatan;8;保:ほ|全:ぜん
記録;Kiroku;きろく;Catatan, Rekaman;8;記:き|録:ろく
機器全体;Kiki Zentai;ききぜんたい;Seluruh Peralatan, Seluruh Fasilitas;8;機:き|器:き|全:ぜん|体:たい
幅広い;Habahiroi;はばひろい;Luas, Beragam, Beraneka Ragam;8;幅:はば|広:ひろ
知識;Chishiki;ちしき;Pengetahuan;8;知:ち|識:しき
専門技術;Senmon Gijutsu;せんもんぎじゅつ;Teknologi Khusus, Keahlian Khusus;8;専門:せんもん|技術:ぎじゅつ
資格者;Shikakusha;しかくしゃ;Orang yang Memiliki Kualifikasi, Orang yang Memiliki Sertifikasi;8;資格:しかく|者:しゃ
給茶業務;Kyūcha Gyōmu;きゅうちゃぎょうむ;Pekerjaan Penyajian Teh, Tugas Penyajian Teh;8;給:きゅう|茶:ちゃ|業:ぎょう|務:む
総合受付;Sōgō Uketsuke;そうごううけつけ;Penerimaan Umum, Resepsionis;8;総:そう|合:ごう|受:うけ|付:つけ
ちゅしゃ管理業務;Chusha Kanri Gyōmu;ちゅしゃかんりぎょうむ;Pekerjaan Manajemen Parkir, Tugas Manajemen Parkir;8;ちゅしゃ:ちゅしゃ|管理:かんり|業:ぎょう|務:む

天井;Tenjō;てんじょう;Langit-langit;24;天:てん|井:じょう
居室;Kyoshitsu;きょしつ;Ruang Hunian, Ruang Tempat Tinggal;24;居:きょ|室:しつ
仕上材;Shiage-zai;しあげざい;Bahan Finishing;24;仕:し|上:あげ|材:ざい
反響;Hankyō;はんきょう;Gema, Resonansi, Pantulan Suara;24;反:はん|響:きょう
岩綿;Ganmen;がんめん;Batu Kapas, Batu Serat;24;岩:がん|綿:めん
吸音板;Kyūonban;きゅうおんばん;Papan Penyerap Suara, Papan Peredam Suara;24;吸:きゅう|音:おん|板:ばん
用途;Yōto;ようと;Fungsi, Penggunaan;24;用:よう|途:と
石膏;Sekko;せっこう;Gipsum;24;石:せっ|膏:こう
石綿;Sekimen;せきめん;Asbes;24;石:せき|綿:めん
クロス貼り;Kurossu Hari;くろすばり;Pemasangan Wallpaper;24;貼:ば
塗装;Tosō;とそう;Pengecatan;24;塗:と|装:そう
施します;Hodokoshimasu;ほどこします;Menerapkan, Melakukan, Memberikan, Menyediakan;24;施:ほどこ
配線;Haisen;はいせん;Instalasi, Pengkabelan, Penataan Kabel;24;配:はい|線:せん
