dataset,week,day,text,raw_reading,cleaned_reading,file,peak_after,rms_after,clipped_samples,duration_sec,pipeline
goi,第1週,1日目,キッチン・台所,キッチン・だいどころ,キッチン だいどころ,第1週1日目-キッチン・台所.wav,24200,8217.22,0,1.465,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,冷蔵庫,れいぞうこ,れいぞうこ,第1週1日目-冷蔵庫.wav,24200,9870.51,0,0.991,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,ワイングラス,ワイングラス,ワイングラス,第1週1日目-ワイングラス.wav,24200,9772.11,0,1.154,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,電子レンジ,でんしレンジ,でんしレンジ,第1週1日目-電子レンジ.wav,24200,9677.43,0,1.122,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,コーヒーカップ,コーヒーカップ,コーヒーカップ,第1週1日目-コーヒーカップ.wav,24200,7866.99,0,1.271,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,"ガスレンジ, ガスコンロ","ガスレンジ, ガスコンロ",ガスレンジ ガスコンロ,第1週1日目-ガスレンジ・ ガスコンロ.wav,24200,9716.12,0,1.699,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,ガラスのコップ,ガラスのコップ,ガラスのコップ,第1週1日目-ガラスのコップ.wav,24200,8533.36,0,1.357,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,湯のみ(茶わん),ゆのみ(ちゃわん),ゆのみ ちゃわん,第1週1日目-湯のみ(茶わん).wav,24200,9489.52,0,1.123,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,茶わん,ちゃわん,ちゃわん,第1週1日目-茶わん.wav,24200,6128.49,0,0.753,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,居間・リビング,いま・リビング,いま リビング,第1週1日目-居間・リビング.wav,24200,9679.36,0,1.074,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,窓ガラス,まどガラス,まどガラス,第1週1日目-窓ガラス.wav,24200,7872.51,0,1.087,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,レバー,レバー,レバー,第1週1日目-レバー.wav,24200,7062.89,0,0.760,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,流し,ながし,ながし,第1週1日目-流し.wav,24200,6476.12,0,0.811,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,雨戸,あまど,あまど,第1週1日目-雨戸.wav,24200,6579.62,0,0.743,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,網戸,あみど,あみど,第1週1日目-網戸.wav,24200,6538.08,0,0.738,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,ヒーター,ヒーター,ヒーター,第1週1日目-ヒーター.wav,24200,7727.34,0,0.825,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,床,ゆか,ゆか,第1週1日目-床.wav,24200,5668.17,0,0.657,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,コンセント,コンセント,コンセント,第1週1日目-コンセント.wav,24200,6971.38,0,1.002,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,天井,てんじょう,てんじょう,第1週1日目-天井.wav,24200,8994.06,0,0.819,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,"じゅうたん, カーペット","じゅうたん, カーペット",じゅうたん カーペット,第1週1日目-じゅうたん・ カーペット.wav,24200,8741.01,0,1.497,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,エアコン,エアコン,エアコン,第1週1日目-エアコン.wav,24200,8232.24,0,0.823,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,コード,コード,コード,第1週1日目-コード.wav,24200,6929.43,0,0.687,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,水道の蛇口をひねる,すいどうのじゃぐちをひねる,すいどうのじゃぐちをひねる,第1週1日目-水道の蛇口をひねる.wav,24200,10538.47,0,1.872,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,水が凍る,みずがこおる,みずがこおる,第1週1日目-水が凍る.wav,24200,9469.31,0,1.151,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,氷になる,こおりになる,こおりになる,第1週1日目-氷になる.wav,24200,10593.42,0,1.131,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,冷凍して保存する,れいとうしてほぞんする,れいとうしてほぞんする,第1週1日目-冷凍して保存する.wav,24200,10527.97,0,1.702,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,残り物を温める,のこりものをあたためる,のこりものをあたためる,第1週1日目-残り物を温める.wav,24200,11460.81,0,1.722,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,ビールを冷やす,ビールをひやす,ビールをひやす,第1週1日目-ビールを冷やす.wav,24200,9380.88,0,1.313,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,ビールが冷えている,ビールがひえている,ビールがひえている,第1週1日目-ビールが冷えている.wav,24200,10232.82,0,1.445,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,エアコンのリモコン,エアコンのリモコン,エアコンのリモコン,第1週1日目-エアコンのリモコン.wav,24200,11326.50,0,1.464,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,スイッチ,スイッチ,スイッチ,第1週1日目-スイッチ.wav,24200,5836.83,0,0.859,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,電源を切る,でんげんをきる,でんげんをきる,第1週1日目-電源を切る.wav,24200,10861.98,0,1.200,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,電源を入れる,でんげんをいれる,でんげんをいれる,第1週1日目-電源を入れる.wav,24200,11748.14,0,1.299,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,じゅうたんを敷く,じゅうたんをしく,じゅうたんをしく,第1週1日目-じゅうたんを敷く.wav,24200,9626.28,0,1.301,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,部屋を暖める,へやをあたためる,へやをあたためる,第1週1日目-部屋を暖める.wav,24200,9905.59,0,1.409,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,暖房をつける,だんぼうをつける,だんぼうをつける,第1週1日目-暖房をつける.wav,24200,11078.27,0,1.357,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,冷房(クーラー)が効いている,れいぼう(クーラー)がきいている,れいぼう クーラー がきいている,第1週1日目-冷房(クーラー)が効いている.wav,24200,11361.99,0,1.941,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,日当たりがいい,ひあたりがいい,ひあたりがいい,第1週1日目-日当たりがいい.wav,24200,10856.18,0,1.205,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,1日目,日当たりが悪い,ひあたりがわるい,ひあたりがわるい,第1週1日目-日当たりが悪い.wav,24200,10961.73,0,1.314,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,2日目,大さじ,たいさじ,たいさじ,第1週2日目-大さじ.wav,24200,7288.28,0,0.876,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,2日目,小さじ,こさじ,こさじ,第1週2日目-小さじ.wav,24200,4852.62,0,0.839,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,2日目,1カップ,1カップ,1カップ,第1週2日目-1カップ.wav,23778,4389.35,0,1.068,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,2日目,1リットル,1りっとる,1りっとる,第1週2日目-1リットル.wav,24200,6987.71,0,1.074,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,2日目,秤,はかり,はかり,第1週2日目-秤.wav,24200,4621.62,0,0.696,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,2日目,包丁,ほうちょう,ほうちょう,第1週2日目-包丁.wav,24200,7560.38,0,0.886,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,2日目,まな板,まないた,まないた,第1週2日目-まな板.wav,24200,7596.61,0,0.856,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,2日目,酒,さけ,さけ,第1週2日目-酒.wav,24200,4374.98,0,0.693,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,2日目,酢,す,す,第1週2日目-酢.wav,3678,429.94,0,0.527,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,2日目,調味料,ちょうみりょう,ちょうみりょう,第1週2日目-調味料.wav,24200,9885.38,0,0.992,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,2日目,サラダ油,さらだあぶら,さらだあぶら,第1週2日目-サラダ油.wav,24200,8753.34,0,1.120,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,2日目,天ぷら油,てんぷらあぶら,てんぷらあぶら,第1週2日目-天ぷら油.wav,24200,10126.75,0,1.138,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,2日目,夕食のおかず,ゆうしょくのおかず,ゆうしょくのおかず,第1週2日目-夕食のおかず.wav,24200,9729.51,0,1.443,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,2日目,栄養のバランスを考える,えいようのばらんすをかんがえる,えいようのばらんすをかんがえる,第1週2日目-栄養のバランスを考える.wav,24200,12466.43,0,2.150,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,2日目,カロリーが高い食品,かろりーがたかいしょくひん,かろりーがたかいしょくひん,第1週2日目-カロリーが高い食品.wav,24200,9960.52,0,1.942,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,2日目,はかりで量る,はかりではかる,はかりではかる,第1週2日目-はかりで量る.wav,24200,8528.41,0,1.271,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,2日目,塩を少々入れる,しおをしょうしょういれる,しおをしょうしょういれる,第1週2日目-塩を少々入れる.wav,24200,11628.29,0,1.656,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,2日目,皮をむく,かわをむく,かわをむく,第1週2日目-皮をむく.wav,24200,9466.83,0,1.113,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,2日目,材料を刻む,ざいりょうをきざむ,ざいりょうをきざむ,第1週2日目-材料を刻む.wav,24200,11673.09,0,1.419,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,2日目,大きめに切る,おおきめにきる,おおきめにきる,第1週2日目-大きめに切る.wav,24200,9683.76,0,1.204,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,2日目,3センチ幅に切る,3せんちはばにきる,3せんちはばにきる,第1週2日目-3センチ幅に切る.wav,24200,9388.00,0,1.704,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,2日目,みそ汁がぬるくなる,みそしるがぬるくなる,みそしるがぬるくなる,第1週2日目-みそ汁がぬるくなる.wav,24200,9734.04,0,1.649,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,2日目,ラップでくるむ,ラップでくるむ,ラップでくるむ,第1週2日目-ラップでくるむ.wav,24200,8523.38,0,1.208,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,2日目,(アルミ)ホイル,(アルミ)ホイル,アルミ ホイル,第1週2日目-(アルミ)ホイル.wav,24200,9541.07,0,1.076,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,2日目,"ラップをかぶせる, かける","ラップをかぶせる, かける",ラップをかぶせる かける,第1週2日目-ラップをかぶせる・ かける.wav,24200,9659.71,0,1.799,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,3日目,鍋,なべ,なべ,第1週3日目-鍋.wav,24200,5641.88,0,0.654,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,3日目,蓋,ふた,ふた,第1週3日目-蓋.wav,24200,2560.02,0,0.644,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,3日目,お玉,おたま,おたま,第1週3日目-お玉.wav,24200,6742.24,0,0.687,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,3日目,フライパン,フライパン,フライパン,第1週3日目-フライパン.wav,24200,7612.47,0,0.957,ffmpeg: gain + limiter + loudnorm + resample to 48k
goi,第1週,3日目,フライ返し,フライかえし,フライかえし,第1週3日目-フライ返し.wav,24200,8808.78,0,1.155,ffmpeg: gain + limiter + loudnorm + resample to 48k
