dataset,week,day,text,raw_reading,cleaned_reading,file,peak_after,rms_after,clipped_samples,duration_sec,pipeline
kanji,第1週,1日目,駐車,ちゅうしゃ,ちゅうしゃ,第1週1日目-駐車.wav,24200,7357.97,0,0.893,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,1日目,駐車場,ちゅうしゃじょう,ちゅうしゃじょう,第1週1日目-駐車場.wav,24200,8137.21,0,1.069,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,1日目,無休,むきゅう,むきゅう,第1週1日目-無休.wav,24200,7058.54,0,0.746,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,1日目,無理（な）,むり（な）,むり な,第1週1日目-無理（な）.wav,24200,7397.46,0,0.661,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,1日目,無料,むりょう,むりょう,第1週1日目-無料.wav,24200,7625.57,0,0.703,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,1日目,無い,ない,ない,第1週1日目-無い.wav,24200,5083.58,0,0.537,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,1日目,満車,まんしゃ,まんしゃ,第1週1日目-満車.wav,24200,7443.16,0,0.760,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,1日目,満員,まんいん,まんいん,第1週1日目-満員.wav,24200,8111.10,0,0.750,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,1日目,不満,ふまん,ふまん,第1週1日目-不満.wav,24200,6494.84,0,0.682,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,1日目,向こう,むこう,むこう,第1週1日目-向こう.wav,24200,6776.31,0,0.704,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,1日目,向かう,むかう,むかう,第1週1日目-向かう.wav,24200,5998.82,0,0.704,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,1日目,~向き,~むき,~むき,第1週1日目-~向き.wav,24200,4762.74,0,0.655,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,1日目,方向,ほうこう,ほうこう,第1週1日目-方向.wav,24200,7683.43,0,0.831,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,1日目,関する,かんする,かんする,第1週1日目-関する.wav,24200,6904.78,0,0.875,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,1日目,関心,かんしん,かんしん,第1週1日目-関心.wav,24200,6960.46,0,0.886,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,1日目,関係,かんけい,かんけい,第1週1日目-関係.wav,24200,6633.20,0,0.846,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,1日目,係,かかり,かかり,第1週1日目-係.wav,24200,5134.41,0,0.692,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,1日目,禁止,きんし,きんし,第1週1日目-禁止.wav,23482,5698.90,0,0.820,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,1日目,断る,ことわる,ことわる,第1週1日目-断る.wav,24200,7445.19,0,0.856,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,1日目,無断,むだん,むだん,第1週1日目-無断.wav,24200,6221.63,0,0.658,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,1日目,断水,だんすい,だんすい,第1週1日目-断水.wav,24200,6781.54,0,0.826,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,2日目,確かめる,たしかめる,たしかめる,第1週2日目-確かめる.wav,24200,6724.95,0,0.988,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,2日目,確か（な）,たしか（な）,たしか な,第1週2日目-確か（な）.wav,24200,5702.99,0,0.849,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,2日目,正確,せいかく,せいかく,第1週2日目-正確.wav,24200,7245.59,0,0.987,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,2日目,認める,みとめる,みとめる,第1週2日目-認める.wav,24200,7217.34,0,0.821,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,2日目,確認,かくにん,かくにん,第1週2日目-確認.wav,24200,7096.55,0,0.840,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,2日目,横,よこ,よこ,第1週2日目-横.wav,24200,5888.47,0,0.662,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,2日目,横断,おうだん,おうだん,第1週2日目-横断.wav,24200,9145.12,0,0.751,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,2日目,横断歩道,おうだんほどう,おうだんほどう,第1週2日目-横断歩道.wav,24200,11139.56,0,1.129,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,2日目,押す,おす,おす,第1週2日目-押す.wav,24200,5004.10,0,0.673,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,2日目,押さえる,おさえる,おさえる,第1週2日目-押さえる.wav,24200,7087.28,0,0.857,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,2日目,押入れ,おしいれ,おしいれ,第1週2日目-押入れ.wav,24200,7107.77,0,0.837,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,2日目,入学式,にゅうがくしき,にゅうがくしき,第1週2日目-入学式.wav,24200,7718.30,0,1.204,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,2日目,数式,すうしき,すうしき,第1週2日目-数式.wav,24200,5740.30,0,0.955,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,2日目,押しボタン式,おしボタンしき,おしボタンしき,第1週2日目-押しボタン式.wav,24200,8204.93,0,1.255,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,2日目,飛ぶ,とぶ,とぶ,第1週2日目-飛ぶ.wav,24200,5469.37,0,0.646,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,2日目,飛行場,ひこうじょう,ひこうじょう,第1週2日目-飛行場.wav,24200,7897.17,0,0.945,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,2日目,信じる,しんじる,しんじる,第1週2日目-信じる.wav,24200,7123.06,0,0.893,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,2日目,送信,そうしん,そうしん,第1週2日目-送信.wav,24200,8200.30,0,0.908,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,2日目,自信,じしん,じしん,第1週2日目-自信.wav,24200,5564.20,0,0.760,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,2日目,信用,しんよう,しんよう,第1週2日目-信用.wav,24200,7605.79,0,0.895,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,2日目,信号,しんごう,しんごう,第1週2日目-信号.wav,24200,7679.13,0,0.884,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,2日目,〜号車,〜ごうしゃ,〜ごうしゃ,第1週2日目-〜号車.wav,24200,6845.47,0,0.832,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,3日目,非常に,ひじょうに,ひじょうに,第1週3日目-非常に.wav,24200,8398.56,0,0.884,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,3日目,非常,ひじょう,ひじょう,第1週3日目-非常.wav,24200,5948.03,0,0.756,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,3日目,非常口,ひじょうぐち,ひじょうぐち,第1週3日目-非常口.wav,24200,8099.73,0,1.076,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,3日目,日常,にちじょう,にちじょう,第1週3日目-日常.wav,24200,6440.30,0,0.912,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,3日目,正常（な）,せいじょう（な）,せいじょう な,第1週3日目-正常（な）.wav,24200,10158.83,0,0.990,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,3日目,〜階,〜かい,〜かい,第1週3日目-〜階.wav,24200,4126.10,0,0.616,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,3日目,階段,かいだん,かいだん,第1週3日目-階段.wav,24200,6771.53,0,0.826,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,3日目,危ない,あぶない,あぶない,第1週3日目-危ない.wav,24200,6449.62,0,0.818,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,3日目,危険（な）,きけん（な）,きけん な,第1週3日目-危険（な）.wav,24200,6952.07,0,0.822,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,3日目,箱,はこ,はこ,第1週3日目-箱.wav,24200,4579.81,0,0.657,ffmpeg: gain + limiter + loudnorm + resample to 48k
kanji,第1週,3日目,ごみ箱,ごみばこ,ごみばこ,第1週3日目-ごみ箱.wav,24200,7319.24,0,0.977,ffmpeg: gain + limiter + loudnorm + resample to 48k
